STATION,NAME,DATE,AVG,TMAX,TMIN
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/25/71,,87,69
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/26/71,,98,74
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/27/71,,98,75
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/28/71,,95,75
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/29/71,,94,67
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",6/30/71,,82,65
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/1/71,,82,58
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/2/71,,86,63
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/3/71,,82,65
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/4/71,,77,66
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/5/71,,81,64
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/6/71,,87,65
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/7/71,,88,70
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/8/71,,81,65
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/9/71,,74,60
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/10/71,,82,65
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/11/71,,79,65
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/12/71,,92,68
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/13/71,,81,65
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/14/71,,79,61
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/15/71,,82,62
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/16/71,,90,61
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/17/71,,84,68
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/18/71,,88,66
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/19/71,,77,61
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/20/71,,85,58
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/21/71,,92,63
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/22/71,,88,68
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/23/71,,83,67
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/24/71,,83,62
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/25/71,,85,66
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/26/71,,76,57
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/27/71,,83,53
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/28/71,,75,59
